Материал название,Материал номер,Иерархия 0 уровень,Иерархия 0 номер,Иерархия 1 уровень,Иерархия 2 уровень,Иерархия 3 уровень,Материал. Признак 1,Материал. Признак 10,Материал. Признак 2,Материал. Признак 3,Материал. Признак 4,Материал. Признак 5,Материал. Признак 6,Материал. Признак 7,Материал. Признак 8,Материал. Признак 9,Материал. Размер 1,Материал. Размер 10,Материал. Размер 11,Материал. Размер 12,Материал. Размер 2,Материал. Размер 3,Материал. Размер 4,Материал. Размер 5,Материал. Размер 6,Материал. Размер 7,Материал. Размер 8,Материал. Размер 9
ТР ОЦ 102 3.5 10704,000000000000007324,Труба,915,10210,1021002400,102100240001100,##,##,##,##,##,##,##,##,##,10704,102,##,##,##,##,##,##,##,##,3.5,##,##
ТР ОЦ 102 4 10704,000000000000007325,Труба,915,10210,1021002400,102100240001100,##,##,##,##,##,##,##,##,##,10704,102,##,##,##,##,##,##,##,##,4,##,##
ТР ОЦ 108 НЕКОНД,000000000000007326,Прочие ТМП,925,10330,1033003400,103300340001100,##,НЕКОНД,##,##,##,##,##,##,##,##,108,##,##,##,##,##,##,##,##,##,##,##
ТР ОЦ 108 3.5 10704,000000000000007327,Труба,915,10210,1021002500,102100250001100,##,##,##,##,##,##,##,##,##,10704,108,##,##,##,##,##,##,##,##,3.5,##,##
ТР ОЦ 108 4 10704,000000000000007328,Труба,915,10210,1021002500,102100250001100,##,##,##,##,##,##,##,##,##,10704,108,##,##,##,##,##,##,##,##,4,##,##
ТР ОЦ 108 4.5 10704,000000000000007329,Труба,915,10210,1021002500,102100250001100,##,##,##,##,##,##,##,##,##,10704,108,##,##,##,##,##,##,##,##,4.5,##,##
ТР ОЦ 114 НЕКОНД,000000000000007330,Прочие ТМП,925,10330,1033003400,103300340001100,##,НЕКОНД,##,##,##,##,##,##,##,##,114,##,##,##,##,##,##,##,##,##,##,##
ТР ОЦ 114 3 10704,000000000000007331,Труба,915,10210,1021002600,102100260001100,##,##,##,##,##,##,##,##,##,10704,114,##,##,##,##,##,##,##,##,3,##,##
ТР ОЦ 114 4 10704,000000000000007332,Труба,915,10210,1021002600,102100260001100,##,##,##,##,##,##,##,##,##,10704,114,##,##,##,##,##,##,##,##,4,##,##
ТР ОЦ 114 4.5 10704,000000000000007333,Труба,915,10210,1021002600,102100260001100,##,##,##,##,##,##,##,##,##,10704,114,##,##,##,##,##,##,##,##,4.5,##,##
ТР ОЦ 133 НЕКОНД,000000000000007334,Прочие ТМП,925,10330,1033003400,103300340001100,##,НЕКОНД,##,##,##,##,##,##,##,##,133,##,##,##,##,##,##,##,##,##,##,##
ТР ОЦ 133 4 10704,000000000000007335,Труба,915,10210,1021002700,102100270001100,##,##,##,##,##,##,##,##,##,10704,133,##,##,##,##,##,##,##,##,4,##,##
