Материал название,Материал номер,Иерархия 0 уровень,Иерархия 0 номер,Иерархия 1 уровень,Иерархия 2 уровень,Иерархия 3 уровень,Материал. Признак 1,Материал. Признак 10,Материал. Признак 2,Материал. Признак 3,Материал. Признак 4,Материал. Признак 5,Материал. Признак 6,Материал. Признак 7,Материал. Признак 8,Материал. Признак 9,Материал. Размер 1,Материал. Размер 10,Материал. Размер 11,Материал. Размер 12,Материал. Размер 2,Материал. Размер 3,Материал. Размер 4,Материал. Размер 5,Материал. Размер 6,Материал. Размер 7,Материал. Размер 8,Материал. Размер 9
АССОРТИМЕНТ ТР ПРОФ,000000000000005226,Труба,915,10220,1022006800,102200680001100,##,##,##,##,##,##,##,##,##,##,##,##,##,##,ТР,ПРОФ,##,##,##,##,##,##
АССОРТИМЕНТ ТР Э/С,000000000000005227,Труба,915,10230,1023007600,102300760001100,##,##,##,##,##,##,##,##,##,##,##,##,##,##,ТР,Э/С,##,##,##,##,##,##
ТР БШ 8 НЕКОНД,000000000000006676,Прочие ТМП,925,10330,1033003100,103300310001100,##,НЕКОНД,##,##,##,##,##,##,##,##,8,##,##,##,##,##,##,##,##,##,##,##
ТР БШ 8 1 ГОСТ,000000000000006677,Труба,915,10190,1019001100,101900110001100,##,##,##,##,##,##,##,##,##,ГОСТ,8,##,##,##,##,##,##,##,##,1,##,##
ТР БШ 12 НЕКОНД,000000000000006678,Прочие ТМП,925,10330,1033003100,103300310001100,##,НЕКОНД,##,##,##,##,##,##,##,##,12,##,##,##,##,##,##,##,##,##,##,##
ТР БШ 12 1 ГОСТ,000000000000006679,Труба,915,10190,1019001200,101900120001100,##,##,##,##,##,##,##,##,##,ГОСТ,12,##,##,##,##,##,##,##,##,1,##,##
ТР БШ 14 НЕКОНД,000000000000006680,Прочие ТМП,925,10330,1033003100,103300310001100,##,НЕКОНД,##,##,##,##,##,##,##,##,14,##,##,##,##,##,##,##,##,##,##,##
ТР БШ 14 2 ГОСТ,000000000000006681,Труба,915,10190,1019001300,101900130001100,##,##,##,##,##,##,##,##,##,ГОСТ,14,##,##,##,##,##,##,##,##,2,##,##
ТР БШ 15 НЕКОНД,000000000000006682,Прочие ТМП,925,10330,1033003100,103300310001100,##,НЕКОНД,##,##,##,##,##,##,##,##,15,##,##,##,##,##,##,##,##,##,##,##
ТР БШ 15 2.8 ГОСТ,000000000000006683,Труба,915,10190,1019001400,101900140001100,##,##,##,##,##,##,##,##,##,ГОСТ,15,##,##,##,##,##,##,##,##,2.8,##,##
ТР БШ 16 НЕКОНД,000000000000006684,Прочие ТМП,925,10330,1033003100,103300310001100,##,НЕКОНД,##,##,##,##,##,##,##,##,16,##,##,##,##,##,##,##,##,##,##,##
ТР БШ 16 3 ГОСТ,000000000000006685,Труба,915,10190,1019001500,101900150001100,##,##,##,##,##,##,##,##,##,ГОСТ,16,##,##,##,##,##,##,##,##,3,##,##
ТР БШ 18 НЕКОНД,000000000000006686,Прочие ТМП,925,10330,1033003100,103300310001100,##,НЕКОНД,##,##,##,##,##,##,##,##,18,##,##,##,##,##,##,##,##,##,##,##
ТР БШ 18 2 ГОСТ,000000000000006687,Труба,915,10190,1019001600,101900160001100,##,##,##,##,##,##,##,##,##,ГОСТ,18,##,##,##,##,##,##,##,##,2,##,##
ТР БШ 20 НЕКОНД,000000000000006688,Прочие ТМП,925,10330,1033003100,103300310001100,##,НЕКОНД,##,##,##,##,##,##,##,##,20,##,##,##,##,##,##,##,##,##,##,##
ТР БШ 20 2.8 СТ20 8732,000000000000006689,Труба,915,10190,1019001700,101900170001100,##,##,##,##,##,##,##,##,СТ20,8732,20,##,##,##,##,##,##,##,##,2.8,##,##
ТР БШ 20 3 СТ20 8732,000000000000006690,Труба,915,10190,1019001700,101900170001200,##,##,##,##,##,##,##,##,СТ20,8732,20,##,##,##,##,##,##,##,##,3,##,##
ТР БШ 20 4 СТ20 8732,000000000000006691,Труба,915,10190,1019001700,101900170001300,##,##,##,##,##,##,##,##,СТ20,8732,20,##,##,##,##,##,##,##,##,4,##,##
ТР БШ 21 НЕКОНД,000000000000006692,Прочие ТМП,925,10330,1033003100,103300310001100,##,НЕКОНД,##,##,##,##,##,##,##,##,21,##,##,##,##,##,##,##,##,##,##,##
ТР БШ 21 3 ГОСТ,000000000000006693,Труба,915,10190,1019001800,101900180001100,##,##,##,##,##,##,##,##,##,ГОСТ,21,##,##,##,##,##,##,##,##,3,##,##
ТР БШ 22 НЕКОНД,000000000000006694,Прочие ТМП,925,10330,1033003100,103300310001100,##,НЕКОНД,##,##,##,##,##,##,##,##,22,##,##,##,##,##,##,##,##,##,##,##
ТР БШ 22 3.5 СТ20 8732,000000000000006695,Труба,915,10190,1019001900,101900190001100,##,##,##,##,##,##,##,##,СТ20,8732,22,##,##,##,##,##,##,##,##,3.5,##,##
ТР БШ 25 НЕКОНД,000000000000006696,Прочие ТМП,925,10330,1033003100,103300310001100,##,НЕКОНД,##,##,##,##,##,##,##,##,25,##,##,##,##,##,##,##,##,##,##,##
ТР БШ 25 2.5 СТ20 8732,000000000000006697,Труба,915,10190,1019002000,101900200001100,##,##,##,##,##,##,##,##,СТ20,8732,25,##,##,##,##,##,##,##,##,2.5,##,##
ТР БШ 25 3 СТ20 8732,000000000000006698,Труба,915,10190,1019002000,101900200001200,##,##,##,##,##,##,##,##,СТ20,8732,25,##,##,##,##,##,##,##,##,3,##,##
ТР БШ 25 3.2 СТ20 8732,000000000000006699,Труба,915,10190,1019002000,101900200001300,##,##,##,##,##,##,##,##,СТ20,8732,25,##,##,##,##,##,##,##,##,3.2,##,##
ТР БШ 25 3.5 СТ20 8732,000000000000006700,Труба,915,10190,1019002000,101900200001400,##,##,##,##,##,##,##,##,СТ20,8732,25,##,##,##,##,##,##,##,##,3.5,##,##
ТР БШ 25 4 СТ20 8732,000000000000006701,Труба,915,10190,1019002000,101900200001500,##,##,##,##,##,##,##,##,СТ20,8732,25,##,##,##,##,##,##,##,##,4,##,##
ТР БШ 27 НЕКОНД,000000000000006702,Прочие ТМП,925,10330,1033003100,103300310001100,##,НЕКОНД,##,##,##,##,##,##,##,##,27,##,##,##,##,##,##,##,##,##,##,##
ТР БШ 27 3 ГОСТ,000000000000006703,Труба,915,10190,1019002100,101900210001100,##,##,##,##,##,##,##,##,##,ГОСТ,27,##,##,##,##,##,##,##,##,3,##,##
ТР БШ 27 5 ГОСТ,000000000000006704,Труба,915,10190,1019002100,101900210001200,##,##,##,##,##,##,##,##,##,ГОСТ,27,##,##,##,##,##,##,##,##,5,##,##
ТР БШ 30 НЕКОНД,000000000000006705,Прочие ТМП,925,10330,1033003100,103300310001100,##,НЕКОНД,##,##,##,##,##,##,##,##,30,##,##,##,##,##,##,##,##,##,##,##
ТР БШ 30 1.3 СТ20 8732,000000000000006706,Труба,915,10190,1019002200,101900220001100,##,##,##,##,##,##,##,##,СТ20,8732,30,##,##,##,##,##,##,##,##,1.3,##,##
ТР БШ 30 3 СТ20 8732,000000000000006707,Труба,915,10190,1019002200,101900220001200,##,##,##,##,##,##,##,##,СТ20,8732,30,##,##,##,##,##,##,##,##,3,##,##
ТР БШ 30 3.5 СТ20 8732,000000000000006708,Труба,915,10190,1019002200,101900220001300,##,##,##,##,##,##,##,##,СТ20,8732,30,##,##,##,##,##,##,##,##,3.5,##,##
ТР БШ 30 4 СТ20 8732,000000000000006709,Труба,915,10190,1019002200,101900220001400,##,##,##,##,##,##,##,##,СТ20,8732,30,##,##,##,##,##,##,##,##,4,##,##
ТР БШ 30 8 СТ20 8732,000000000000006710,Труба,915,10190,1019002200,101900220001500,##,##,##,##,##,##,##,##,СТ20,8732,30,##,##,##,##,##,##,##,##,8,##,##
ТР БШ 32 НЕКОНД,000000000000006711,Прочие ТМП,925,10330,1033003100,103300310001100,##,НЕКОНД,##,##,##,##,##,##,##,##,32,##,##,##,##,##,##,##,##,##,##,##
ТР БШ 32 3 СТ20 8732,000000000000006712,Труба,915,10190,1019002300,101900230001100,##,##,##,##,##,##,##,##,СТ20,8732,32,##,##,##,##,##,##,##,##,3,##,##
ТР БШ 32 3.2 СТ20 8732,000000000000006713,Труба,915,10190,1019002300,101900230001300,##,##,##,##,##,##,##,##,СТ20,8732,32,##,##,##,##,##,##,##,##,3.2,##,##
ТР БШ 32 3.5 СТ20 8732,000000000000006714,Труба,915,10190,1019002300,101900230001400,##,##,##,##,##,##,##,##,СТ20,8732,32,##,##,##,##,##,##,##,##,3.5,##,##
ТР БШ 32 4 СТ20 8732,000000000000006715,Труба,915,10190,1019002300,101900230001500,##,##,##,##,##,##,##,##,СТ20,8732,32,##,##,##,##,##,##,##,##,4,##,##
ТР БШ 32 5 СТ20 8732,000000000000006716,Труба,915,10190,1019002300,101900230001700,##,##,##,##,##,##,##,##,СТ20,8732,32,##,##,##,##,##,##,##,##,5,##,##
ТР БШ 33 НЕКОНД,000000000000006717,Прочие ТМП,925,10330,1033003100,103300310001100,##,НЕКОНД,##,##,##,##,##,##,##,##,33,##,##,##,##,##,##,##,##,##,##,##
ТР БШ 33 1.5 ГОСТ,000000000000006718,Труба,915,10190,1019002400,101900240001100,##,##,##,##,##,##,##,##,##,ГОСТ,33,##,##,##,##,##,##,##,##,1.5,##,##
ТР БШ 34 НЕКОНД,000000000000006719,Прочие ТМП,925,10330,1033003100,103300310001100,##,НЕКОНД,##,##,##,##,##,##,##,##,34,##,##,##,##,##,##,##,##,##,##,##
ТР БШ 34 6 ГОСТ,000000000000006720,Труба,915,10190,1019002500,101900250001400,##,##,##,##,##,##,##,##,##,ГОСТ,34,##,##,##,##,##,##,##,##,6,##,##
ТР БШ 38 НЕКОНД,000000000000006721,Прочие ТМП,925,10330,1033003100,103300310001100,##,НЕКОНД,##,##,##,##,##,##,##,##,38,##,##,##,##,##,##,##,##,##,##,##
ТР БШ 38 3 СТ20 8732,000000000000006722,Труба,915,10190,1019002700,101900270001100,##,##,##,##,##,##,##,##,СТ20,8732,38,##,##,##,##,##,##,##,##,3,##,##
ТР БШ 38 3.2 СТ20 8732,000000000000006723,Труба,915,10190,1019002700,101900270001200,##,##,##,##,##,##,##,##,СТ20,8732,38,##,##,##,##,##,##,##,##,3.2,##,##
ТР БШ 38 3.5 СТ20 8732,000000000000006724,Труба,915,10190,1019002700,101900270001300,##,##,##,##,##,##,##,##,СТ20,8732,38,##,##,##,##,##,##,##,##,3.5,##,##
ТР БШ 38 4 СТ20 8732,000000000000006725,Труба,915,10190,1019002700,101900270001400,##,##,##,##,##,##,##,##,СТ20,8732,38,##,##,##,##,##,##,##,##,4,##,##
ТР БШ 38 4.5 СТ20 8732,000000000000006726,Труба,915,10190,1019002700,101900270001500,##,##,##,##,##,##,##,##,СТ20,8732,38,##,##,##,##,##,##,##,##,4.5,##,##
ТР БШ 38 5 СТ20 8732,000000000000006727,Труба,915,10190,1019002700,101900270001600,##,##,##,##,##,##,##,##,СТ20,8732,38,##,##,##,##,##,##,##,##,5,##,##
ТР БШ 40 НЕКОНД,000000000000006728,Прочие ТМП,925,10330,1033003100,103300310001100,##,НЕКОНД,##,##,##,##,##,##,##,##,40,##,##,##,##,##,##,##,##,##,##,##
ТР БШ 40 3 СТ20 8732,000000000000006729,Труба,915,10190,1019002800,101900280001100,##,##,##,##,##,##,##,##,СТ20,8732,40,##,##,##,##,##,##,##,##,3,##,##
ТР БШ 40 3.2 СТ20 8732,000000000000006730,Труба,915,10190,1019002800,101900280001200,##,##,##,##,##,##,##,##,СТ20,8732,40,##,##,##,##,##,##,##,##,3.2,##,##
ТР БШ 40 3.5 СТ20 8732,000000000000006731,Труба,915,10190,1019002800,101900280001300,##,##,##,##,##,##,##,##,СТ20,8732,40,##,##,##,##,##,##,##,##,3.5,##,##
ТР БШ 40 5 СТ20 8732,000000000000006732,Труба,915,10190,1019002800,101900280001400,##,##,##,##,##,##,##,##,СТ20,8732,40,##,##,##,##,##,##,##,##,5,##,##
ТР БШ 40 6 СТ20 8732,000000000000006733,Труба,915,10190,1019002800,101900280001500,##,##,##,##,##,##,##,##,СТ20,8732,40,##,##,##,##,##,##,##,##,6,##,##
ТР БШ 42 НЕКОНД,000000000000006734,Прочие ТМП,925,10330,1033003100,103300310001100,##,НЕКОНД,##,##,##,##,##,##,##,##,42,##,##,##,##,##,##,##,##,##,##,##
ТР БШ 42 3 СТ20 8732,000000000000006735,Труба,915,10190,1019002900,101900290001100,##,##,##,##,##,##,##,##,СТ20,8732,42,##,##,##,##,##,##,##,##,3,##,##
ТР БШ 42 3.2 СТ20 8732,000000000000006736,Труба,915,10190,1019002900,101900290001150,##,##,##,##,##,##,##,##,СТ20,8732,42,##,##,##,##,##,##,##,##,3.2,##,##
ТР БШ 42 3.5 СТ20 8732,000000000000006737,Труба,915,10190,1019002900,101900290001200,##,##,##,##,##,##,##,##,СТ20,8732,42,##,##,##,##,##,##,##,##,3.5,##,##
ТР БШ 42 4 СТ20 8732,000000000000006738,Труба,915,10190,1019002900,101900290001300,##,##,##,##,##,##,##,##,СТ20,8732,42,##,##,##,##,##,##,##,##,4,##,##
ТР БШ 42 4.5 СТ20 8732,000000000000006739,Труба,915,10190,1019002900,101900290001400,##,##,##,##,##,##,##,##,СТ20,8732,42,##,##,##,##,##,##,##,##,4.5,##,##
ТР БШ 42 5 СТ20 8732,000000000000006740,Труба,915,10190,1019002900,101900290001500,##,##,##,##,##,##,##,##,СТ20,8732,42,##,##,##,##,##,##,##,##,5,##,##
ТР БШ 45 НЕКОНД,000000000000006741,Прочие ТМП,925,10330,1033003100,103300310001100,##,НЕКОНД,##,##,##,##,##,##,##,##,45,##,##,##,##,##,##,##,##,##,##,##
ТР БШ 45 3.5 СТ20 8732,000000000000006742,Труба,915,10190,1019003000,101900300001100,##,##,##,##,##,##,##,##,СТ20,8732,45,##,##,##,##,##,##,##,##,3.5,##,##
ТР БШ 45 4 СТ20 8732,000000000000006743,Труба,915,10190,1019003000,101900300001200,##,##,##,##,##,##,##,##,СТ20,8732,45,##,##,##,##,##,##,##,##,4,##,##
ТР БШ 45 4.5 СТ20 8732,000000000000006744,Труба,915,10190,1019003000,101900300001300,##,##,##,##,##,##,##,##,СТ20,8732,45,##,##,##,##,##,##,##,##,4.5,##,##
ТР БШ 45 5 СТ20 8732,000000000000006745,Труба,915,10190,1019003000,101900300001400,##,##,##,##,##,##,##,##,СТ20,8732,45,##,##,##,##,##,##,##,##,5,##,##
ТР БШ 45 8 СТ20 8732,000000000000006746,Труба,915,10190,1019003000,101900300001500,##,##,##,##,##,##,##,##,СТ20,8732,45,##,##,##,##,##,##,##,##,8,##,##
ТР БШ 48 НЕКОНД,000000000000006747,Прочие ТМП,925,10330,1033003100,103300310001100,##,НЕКОНД,##,##,##,##,##,##,##,##,48,##,##,##,##,##,##,##,##,##,##,##
ТР БШ 48 3 ГОСТ,000000000000006748,Труба,915,10190,1019003100,101900310001100,##,##,##,##,##,##,##,##,##,ГОСТ,48,##,##,##,##,##,##,##,##,3,##,##
ТР БШ 48 3.2 ГОСТ,000000000000006749,Труба,915,10190,1019003100,101900310001200,##,##,##,##,##,##,##,##,##,ГОСТ,48,##,##,##,##,##,##,##,##,3.2,##,##
ТР БШ 48 3.5 ГОСТ,000000000000006750,Труба,915,10190,1019003100,101900310001300,##,##,##,##,##,##,##,##,##,ГОСТ,48,##,##,##,##,##,##,##,##,3.5,##,##
ТР БШ 48 4 ГОСТ,000000000000006751,Труба,915,10190,1019003100,101900310001400,##,##,##,##,##,##,##,##,##,ГОСТ,48,##,##,##,##,##,##,##,##,4,##,##
ТР БШ 48 4.5 ГОСТ,000000000000006752,Труба,915,10190,1019003100,101900310001500,##,##,##,##,##,##,##,##,##,ГОСТ,48,##,##,##,##,##,##,##,##,4.5,##,##
ТР БШ 48 5 ГОСТ,000000000000006753,Труба,915,10190,1019003100,101900310001600,##,##,##,##,##,##,##,##,##,ГОСТ,48,##,##,##,##,##,##,##,##,5,##,##
ТР БШ 50 НЕКОНД,000000000000006754,Прочие ТМП,925,10330,1033003100,103300310001100,##,НЕКОНД,##,##,##,##,##,##,##,##,50,##,##,##,##,##,##,##,##,##,##,##
ТР БШ 50 3.5 СТ20 8732,000000000000006755,Труба,915,10190,1019003200,101900320001100,##,##,##,##,##,##,##,##,СТ20,8732,50,##,##,##,##,##,##,##,##,3.5,##,##
ТР БШ 50 5 СТ20 8732,000000000000006756,Труба,915,10190,1019003200,101900320001200,##,##,##,##,##,##,##,##,СТ20,8732,50,##,##,##,##,##,##,##,##,5,##,##
ТР БШ 51 НЕКОНД,000000000000006757,Прочие ТМП,925,10330,1033003100,103300310001100,##,НЕКОНД,##,##,##,##,##,##,##,##,51,##,##,##,##,##,##,##,##,##,##,##
ТР БШ 51 2.5 СТ20 8732,000000000000006758,Труба,915,10190,1019003300,101900330001100,##,##,##,##,##,##,##,##,СТ20,8732,51,##,##,##,##,##,##,##,##,2.5,##,##
ТР БШ 51 3.5 СТ20 8732,000000000000006759,Труба,915,10190,1019003300,101900330001200,##,##,##,##,##,##,##,##,СТ20,8732,51,##,##,##,##,##,##,##,##,3.5,##,##
ТР БШ 51 4 СТ20 8732,000000000000006760,Труба,915,10190,1019003300,101900330001300,##,##,##,##,##,##,##,##,СТ20,8732,51,##,##,##,##,##,##,##,##,4,##,##
ТР БШ 51 5 СТ20 8732,000000000000006761,Труба,915,10190,1019003300,101900330001400,##,##,##,##,##,##,##,##,СТ20,8732,51,##,##,##,##,##,##,##,##,5,##,##
ТР БШ 51 5.5 СТ20 8732,000000000000006762,Труба,915,10190,1019003300,101900330001500,##,##,##,##,##,##,##,##,СТ20,8732,51,##,##,##,##,##,##,##,##,5.5,##,##
ТР БШ 54 НЕКОНД,000000000000006763,Прочие ТМП,925,10330,1033003100,103300310001100,##,НЕКОНД,##,##,##,##,##,##,##,##,54,##,##,##,##,##,##,##,##,##,##,##
ТР БШ 54 3 СТ20 8732,000000000000006764,Труба,915,10190,1019003400,101900340001100,##,##,##,##,##,##,##,##,СТ20,8732,54,##,##,##,##,##,##,##,##,3,##,##
ТР БШ 56 НЕКОНД,000000000000006765,Прочие ТМП,925,10330,1033003100,103300310001100,##,НЕКОНД,##,##,##,##,##,##,##,##,56,##,##,##,##,##,##,##,##,##,##,##
ТР БШ 57 НЕКОНД,000000000000006766,Прочие ТМП,925,10330,1033003100,103300310001100,##,НЕКОНД,##,##,##,##,##,##,##,##,57,##,##,##,##,##,##,##,##,##,##,##
ТР БШ 57 10 СТ20 8732,000000000000006767,Труба,915,10190,1019003600,101900360002000,##,##,##,##,##,##,##,##,СТ20,8732,57,##,##,##,##,##,##,##,##,10,##,##
ТР БШ 57 12 СТ20 8732,000000000000006768,Труба,915,10190,1019003600,101900360002100,##,##,##,##,##,##,##,##,СТ20,8732,57,##,##,##,##,##,##,##,##,12,##,##
ТР БШ 57 2.5 СТ20 8732,000000000000006769,Труба,915,10190,1019003600,101900360001100,##,##,##,##,##,##,##,##,СТ20,8732,57,##,##,##,##,##,##,##,##,2.5,##,##
ТР БШ 57 3 СТ20 8732,000000000000006770,Труба,915,10190,1019003600,101900360001200,##,##,##,##,##,##,##,##,СТ20,8732,57,##,##,##,##,##,##,##,##,3,##,##
ТР БШ 57 3.5 СТ20 8732,000000000000006771,Труба,915,10190,1019003600,101900360001300,##,##,##,##,##,##,##,##,СТ20,8732,57,##,##,##,##,##,##,##,##,3.5,##,##
ТР БШ 57 4 СТ20 8732,000000000000006772,Труба,915,10190,1019003600,101900360001400,##,##,##,##,##,##,##,##,СТ20,8732,57,##,##,##,##,##,##,##,##,4,##,##
ТР БШ 57 4.5 СТ20 8732,000000000000006773,Труба,915,10190,1019003600,101900360001500,##,##,##,##,##,##,##,##,СТ20,8732,57,##,##,##,##,##,##,##,##,4.5,##,##
ТР БШ 57 5 СТ20 8732,000000000000006774,Труба,915,10190,1019003600,101900360001600,##,##,##,##,##,##,##,##,СТ20,8732,57,##,##,##,##,##,##,##,##,5,##,##
ТР БШ 57 6 СТ20 8732,000000000000006775,Труба,915,10190,1019003600,101900360001700,##,##,##,##,##,##,##,##,СТ20,8732,57,##,##,##,##,##,##,##,##,6,##,##
ТР БШ 57 7 СТ20 8732,000000000000006776,Труба,915,10190,1019003600,101900360001800,##,##,##,##,##,##,##,##,СТ20,8732,57,##,##,##,##,##,##,##,##,7,##,##
ТР БШ 57 8 СТ20 8732,000000000000006777,Труба,915,10190,1019003600,101900360001900,##,##,##,##,##,##,##,##,СТ20,8732,57,##,##,##,##,##,##,##,##,8,##,##
ТР БШ 60 НЕКОНД,000000000000006778,Прочие ТМП,925,10330,1033003100,103300310001100,##,НЕКОНД,##,##,##,##,##,##,##,##,60,##,##,##,##,##,##,##,##,##,##,##
ТР БШ 60 10 СТ20 8732,000000000000006779,Труба,915,10190,1019003700,101900370001800,##,##,##,##,##,##,##,##,СТ20,8732,60,##,##,##,##,##,##,##,##,10,##,##
ТР БШ 60 12 СТ20 8732,000000000000006780,Труба,915,10190,1019003700,101900370001900,##,##,##,##,##,##,##,##,СТ20,8732,60,##,##,##,##,##,##,##,##,12,##,##
ТР БШ 60 14 СТ20 8732,000000000000006781,Труба,915,10190,1019003700,101900370002000,##,##,##,##,##,##,##,##,СТ20,8732,60,##,##,##,##,##,##,##,##,14,##,##
ТР БШ 60 3.5 СТ20 8732,000000000000006782,Труба,915,10190,1019003700,101900370001100,##,##,##,##,##,##,##,##,СТ20,8732,60,##,##,##,##,##,##,##,##,3.5,##,##
ТР БШ 60 4 СТ20 8732,000000000000006783,Труба,915,10190,1019003700,101900370001200,##,##,##,##,##,##,##,##,СТ20,8732,60,##,##,##,##,##,##,##,##,4,##,##
ТР БШ 60 5 СТ20 8732,000000000000006784,Труба,915,10190,1019003700,101900370001300,##,##,##,##,##,##,##,##,СТ20,8732,60,##,##,##,##,##,##,##,##,5,##,##
ТР БШ 60 5.5 СТ20 8732,000000000000006785,Труба,915,10190,1019003700,101900370001400,##,##,##,##,##,##,##,##,СТ20,8732,60,##,##,##,##,##,##,##,##,5.5,##,##
ТР БШ 60 6 СТ20 8732,000000000000006786,Труба,915,10190,1019003700,101900370001500,##,##,##,##,##,##,##,##,СТ20,8732,60,##,##,##,##,##,##,##,##,6,##,##
ТР БШ 60 7 СТ20 8732,000000000000006787,Труба,915,10190,1019003700,101900370001600,##,##,##,##,##,##,##,##,СТ20,8732,60,##,##,##,##,##,##,##,##,7,##,##
ТР БШ 60 9 СТ20 8732,000000000000006788,Труба,915,10190,1019003700,101900370001700,##,##,##,##,##,##,##,##,СТ20,8732,60,##,##,##,##,##,##,##,##,9,##,##
ТР БШ 63 3.5 ГОСТ,000000000000006789,Труба,915,10190,1019003800,101900380001100,##,##,##,##,##,##,##,##,##,ГОСТ,63,##,##,##,##,##,##,##,##,3.5,##,##
ТР БШ 63 5.5 ГОСТ,000000000000006790,Труба,915,10190,1019003800,101900380001300,##,##,##,##,##,##,##,##,##,ГОСТ,63,##,##,##,##,##,##,##,##,5.5,##,##
ТР БШ 68 НЕКОНД,000000000000006791,Прочие ТМП,925,10330,1033003100,103300310001100,##,НЕКОНД,##,##,##,##,##,##,##,##,68,##,##,##,##,##,##,##,##,##,##,##
ТР БШ 68 16 СТ20 8732,000000000000006792,Труба,915,10190,1019003900,101900390001300,##,##,##,##,##,##,##,##,СТ20,8732,68,##,##,##,##,##,##,##,##,16,##,##
ТР БШ 68 5 СТ20 8732,000000000000006793,Труба,915,10190,1019003900,101900390001100,##,##,##,##,##,##,##,##,СТ20,8732,68,##,##,##,##,##,##,##,##,5,##,##
ТР БШ 68 6 СТ20 8732,000000000000006794,Труба,915,10190,1019003900,101900390001200,##,##,##,##,##,##,##,##,СТ20,8732,68,##,##,##,##,##,##,##,##,6,##,##
ТР БШ 70 НЕКОНД,000000000000006795,Прочие ТМП,925,10330,1033003100,103300310001100,##,НЕКОНД,##,##,##,##,##,##,##,##,70,##,##,##,##,##,##,##,##,##,##,##
ТР БШ 70 10 СТ20 8732,000000000000006796,Труба,915,10190,1019004000,101900400001500,##,##,##,##,##,##,##,##,СТ20,8732,70,##,##,##,##,##,##,##,##,10,##,##
ТР БШ 70 12 СТ20 8732,000000000000006797,Труба,915,10190,1019004000,101900400001600,##,##,##,##,##,##,##,##,СТ20,8732,70,##,##,##,##,##,##,##,##,12,##,##
ТР БШ 70 5 СТ20 8732,000000000000006798,Труба,915,10190,1019004000,101900400001100,##,##,##,##,##,##,##,##,СТ20,8732,70,##,##,##,##,##,##,##,##,5,##,##
ТР БШ 70 6 СТ20 8732,000000000000006799,Труба,915,10190,1019004000,101900400001200,##,##,##,##,##,##,##,##,СТ20,8732,70,##,##,##,##,##,##,##,##,6,##,##
ТР БШ 70 8 СТ20 8732,000000000000006800,Труба,915,10190,1019004000,101900400001300,##,##,##,##,##,##,##,##,СТ20,8732,70,##,##,##,##,##,##,##,##,8,##,##
ТР БШ 70 9 СТ20 8732,000000000000006801,Труба,915,10190,1019004000,101900400001400,##,##,##,##,##,##,##,##,СТ20,8732,70,##,##,##,##,##,##,##,##,9,##,##
ТР БШ 73 НЕКОНД,000000000000006802,Прочие ТМП,925,10330,1033003100,103300310001100,##,НЕКОНД,##,##,##,##,##,##,##,##,73,##,##,##,##,##,##,##,##,##,##,##
ТР БШ 73 10 СТ20 8732,000000000000006803,Труба,915,10190,1019004100,101900410001400,##,##,##,##,##,##,##,##,СТ20,8732,73,##,##,##,##,##,##,##,##,10,##,##
ТР БШ 73 5 Б/У ТУ,000000000000006804,Труба,915,10190,1019004100,101900410001050,##,##,Б/У,##,##,##,##,##,##,ТУ,73,##,##,##,##,##,##,##,##,5,##,##
ТР БШ 73 5.5 СТ20 8732,000000000000006805,Труба,915,10190,1019004100,101900410001100,##,##,##,##,##,##,##,##,СТ20,8732,73,##,##,##,##,##,##,##,##,5.5,##,##
ТР БШ 73 6.5 СТ20 8732,000000000000006806,Труба,915,10190,1019004100,101900410001200,##,##,##,##,##,##,##,##,СТ20,8732,73,##,##,##,##,##,##,##,##,6.5,##,##
ТР БШ 73 8 СТ20 8732,000000000000006807,Труба,915,10190,1019004100,101900410001300,##,##,##,##,##,##,##,##,СТ20,8732,73,##,##,##,##,##,##,##,##,8,##,##
ТР БШ 76 НЕКОНД,000000000000006808,Прочие ТМП,925,10330,1033003100,103300310001100,##,НЕКОНД,##,##,##,##,##,##,##,##,76,##,##,##,##,##,##,##,##,##,##,##
ТР БШ 76 10 СТ20 8732,000000000000006809,Труба,915,10190,1019004200,101900420001800,##,##,##,##,##,##,##,##,СТ20,8732,76,##,##,##,##,##,##,##,##,10,##,##
ТР БШ 76 16 СТ20 8732,000000000000006810,Труба,915,10190,1019004200,101900420001900,##,##,##,##,##,##,##,##,СТ20,8732,76,##,##,##,##,##,##,##,##,16,##,##
ТР БШ 76 3.5 СТ20 8732,000000000000006811,Труба,915,10190,1019004200,101900420001100,##,##,##,##,##,##,##,##,СТ20,8732,76,##,##,##,##,##,##,##,##,3.5,##,##
ТР БШ 76 4 СТ20 8732,000000000000006812,Труба,915,10190,1019004200,101900420001200,##,##,##,##,##,##,##,##,СТ20,8732,76,##,##,##,##,##,##,##,##,4,##,##
ТР БШ 76 4.5 СТ20 8732,000000000000006813,Труба,915,10190,1019004200,101900420001300,##,##,##,##,##,##,##,##,СТ20,8732,76,##,##,##,##,##,##,##,##,4.5,##,##
ТР БШ 76 5 СТ20 8732,000000000000006814,Труба,915,10190,1019004200,101900420001400,##,##,##,##,##,##,##,##,СТ20,8732,76,##,##,##,##,##,##,##,##,5,##,##
ТР БШ 76 6 СТ20 8732,000000000000006815,Труба,915,10190,1019004200,101900420001500,##,##,##,##,##,##,##,##,СТ20,8732,76,##,##,##,##,##,##,##,##,6,##,##
